status	stable_id	sequence_cluster_id	fold
FROZEN_PHASE3D	ENST00000000233	SCa359c121066c	3
FROZEN_PHASE3D	ENST00000001008	SC904f783a5a97	1
FROZEN_PHASE3D	ENST00000002165	SC68f449b28b10	2
FROZEN_PHASE3D	ENST00000003100	SCe867fb7427d3	0
FROZEN_PHASE3D	ENST00000005257	SC449c11df4e22	1
FROZEN_PHASE3D	ENST00000005260	SC19cec07939a2	2
FROZEN_PHASE3D	ENST00000005374	SC999a395a4046	4
FROZEN_PHASE3D	ENST00000005995	SCcfb88018f02d	3
FROZEN_PHASE3D	ENST00000006777	SC58946ba6053c	1
FROZEN_PHASE3D	ENST00000007390	SC5dc4339dd69c	2
FROZEN_PHASE3D	ENST00000007516	SCed9928c09abe	1
FROZEN_PHASE3D	ENST00000009589	SC3e8f59939759	0
FROZEN_PHASE3D	ENST00000010404	SC100cf2de40ad	2
FROZEN_PHASE3D	ENST00000011473	SC0a762d1220a1	2
FROZEN_PHASE3D	ENST00000011619	SCd64c444f8acd	1
FROZEN_PHASE3D	ENST00000011691	SC2b5d41927491	4
FROZEN_PHASE3D	ENST00000012443	SCbad533ed2441	3
FROZEN_PHASE3D	ENST00000013034	SC819364ca40e7	1
FROZEN_PHASE3D	ENST00000013070	SC14bd99a9a678	2
FROZEN_PHASE3D	ENST00000013807	SCc931799f4ef9	3
FROZEN_PHASE3D	ENST00000013894	SCecd813a29fad	4
FROZEN_PHASE3D	ENST00000019317	SC34dd22e20f50	0
FROZEN_PHASE3D	ENST00000022615	SCdac4bd91838d	0
FROZEN_PHASE3D	ENST00000023939	SCd5f5de22104b	1
FROZEN_PHASE3D	ENST00000025399	SC4a875709f255	2
FROZEN_PHASE3D	ENST00000037243	SC3fafcc478c02	0
FROZEN_PHASE3D	ENST00000037869	SC66a9916c665b	4
FROZEN_PHASE3D	ENST00000038176	SC35f479aee5e4	4
FROZEN_PHASE3D	ENST00000053468	SC27cb0cfc9199	1
FROZEN_PHASE3D	ENST00000053867	SC84a21f4aa99e	0
FROZEN_PHASE3D	ENST00000054666	SC36cbe96952cf	3
FROZEN_PHASE3D	ENST00000055077	SCf2cfb2db14fc	1
FROZEN_PHASE3D	ENST00000081029	SCeac7ce78fe1b	1
FROZEN_PHASE3D	ENST00000084795	SCd12b4dd20ddc	2
FROZEN_PHASE3D	ENST00000085068	SC01daa409d747	0
FROZEN_PHASE3D	ENST00000085079	SC90e826e1d313	3
FROZEN_PHASE3D	ENST00000155926	SCf14c7644732e	1
FROZEN_PHASE3D	ENST00000156109	SCe8f85c583fff	1
FROZEN_PHASE3D	ENST00000156626	SC7f6c662f8628	1
FROZEN_PHASE3D	ENST00000157812	SC2a55d9cb6448	4
FROZEN_PHASE3D	ENST00000160827	SC0fed17b861bc	1
FROZEN_PHASE3D	ENST00000163416	SCd41c8acb8d4b	3
FROZEN_PHASE3D	ENST00000166345	SCe3fe5ff80e58	2
FROZEN_PHASE3D	ENST00000167218	SC8d23be6b469b	0
FROZEN_PHASE3D	ENST00000168216	SC4319a6e202e3	1
FROZEN_PHASE3D	ENST00000170447	SC2a3912dbc6db	4
FROZEN_PHASE3D	ENST00000171111	SCb851258e1c80	1
FROZEN_PHASE3D	ENST00000173527	SCef0a7a5c971a	0
FROZEN_PHASE3D	ENST00000175091	SC63954e56b998	1
FROZEN_PHASE3D	ENST00000175506	SCf407671e6d41	4
FROZEN_PHASE3D	ENST00000177742	SC632d805d12c3	1
FROZEN_PHASE3D	ENST00000184266	SC734f0e000f3f	1
FROZEN_PHASE3D	ENST00000185150	SC41d998cf0f14	1
FROZEN_PHASE3D	ENST00000188376	SCccf6bf489067	3
FROZEN_PHASE3D	ENST00000194118	SC4fee13dd6ed2	4
FROZEN_PHASE3D	ENST00000194214	SC3933d12b605f	0
FROZEN_PHASE3D	ENST00000194530	SC7ee02b1fb2fd	0
FROZEN_PHASE3D	ENST00000196061	SC8762b6d6d0fb	4
FROZEN_PHASE3D	ENST00000196551	SC409f351b4634	0
FROZEN_PHASE3D	ENST00000199320	SC5bee9209a305	2
FROZEN_PHASE3D	ENST00000199389	SC799f83c158e4	2
FROZEN_PHASE3D	ENST00000199706	SC5caa8ba36cf8	2
FROZEN_PHASE3D	ENST00000199708	SCdc1c8f2fab4d	3
FROZEN_PHASE3D	ENST00000199814	SCee84d6cb19ea	1
FROZEN_PHASE3D	ENST00000200453	SC4091b0924d32	4
FROZEN_PHASE3D	ENST00000200457	SC8ab2b525c1a6	2
FROZEN_PHASE3D	ENST00000202017	SC49e96bab3d05	3
FROZEN_PHASE3D	ENST00000202773	SC0dcadaf4528c	4
FROZEN_PHASE3D	ENST00000202834	SC5d5aee2dbd62	3
FROZEN_PHASE3D	ENST00000203407	SC49ca4aad2ca4	1
FROZEN_PHASE3D	ENST00000203630	SC8a88a231e831	3
FROZEN_PHASE3D	ENST00000204549	SC49248c9fc430	0
FROZEN_PHASE3D	ENST00000204566	SCf54e69f1aad8	1
FROZEN_PHASE3D	ENST00000205194	SC131bc5a5d888	1
FROZEN_PHASE3D	ENST00000205402	SCef4d566a77d5	0
FROZEN_PHASE3D	ENST00000205636	SC2be03f66f873	0
