dataset_id	local_cache_path	source_url	retrieval_date	bytes	sha256	command
SGNEX_TX	.cache/phase2/sgnex/transcript.rds	https://sg-nex-data.s3.ap-southeast-1.amazonaws.com/data/processed_data/manuscript/processed/combinedExpressionDataTranscript_19June2023.rds	2026-09-23	669521420	51d41a85766e536fc995965d820facc3e2e02bb99391330b9df4a46ff9a3a7d2	curl -L --fail --remote-name
SGNEX_META	.cache/phase2/sgnex/metadata.rds	https://sg-nex-data.s3.ap-southeast-1.amazonaws.com/data/processed_data/manuscript/processed/general_list2023-08-29.rds	2026-09-23	27131354	d37b4e2bf289ea46b59c2cd47c23c036f0708b1c31a5c235687dbfd1048b24b	curl -L --fail --remote-name
SGNEX_SPIKE	.cache/phase2/sgnex/spikein.rds	https://sg-nex-data.s3.ap-southeast-1.amazonaws.com/data/processed_data/manuscript/processed/combinedExpressionDataList_spikein_25May.rds	2026-09-23	65329913	d2d085c5c7108cb2c5e015eed192cf54e464effe639ed5b80b2a4f315bef9084	curl -L --fail --remote-name
ICSHAPE_K562	.cache/phase2/icshape/GSM4333260_K562.out.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4333nnn/GSM4333260/suppl/GSM4333260_K562.out.txt.gz	2026-09-23	87391918	e7131005627f39b0054074ac59c4d12d67ac2e3e87058926a56e691c7891c758	curl -L --fail --remote-name
gse132099_icshape_invivo	.cache/phase3b/structure/GSE132099_icSHAPE_invivo.out.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132099/suppl/GSE132099_icSHAPE_invivo.out.txt.gz	2026-09-23	22840529	d2d168e235faf9cdc3169c96ffc046635695bf1bec5e1e63a4066cd283cd198d	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
gse149767_k562_icshape_invivo	.cache/phase3b/structure/GSE149767_k562_vivo_icshape.tar.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149767/suppl/GSE149767_k562_vivo_icshape.tar.gz	2026-09-23	89111498	e21c6f16adf4e79c24dc75100131b5585373465425e0391c06f7fa9c3ad52ecf	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
gse149767_readme	.cache/phase3b/structure/GSE149767_readme.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149767/suppl/GSE149767_readme.txt	2026-09-23	3551	cb62bb14c125831d14ea8b6d9b3828686fc565aee43cf68837b7c7a6f4aeb0a4	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
gse149767_k562_maps	.cache/phase3b/structure/GSE149767_k562maps.tar.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149767/suppl/GSE149767_k562maps.tar.gz	2026-09-23	322087573	8f552225bfba88ef69b9f2309078c820bcb1b2a22be103226039868cb99f4df3	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
ensembl88_gtf	.cache/phase3b/references/ensembl88.gtf.gz	https://ftp.ensembl.org/pub/release-88/gtf/homo_sapiens/Homo_sapiens.GRCh38.88.gtf.gz	2026-09-23	46157774	ba9cb13686c3a4429724dfd6f6e52df92d1cc59675a4590d4a854f64ce633f46	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
ensembl88_cdna	.cache/phase3b/references/ensembl88.cdna.fa.gz	https://ftp.ensembl.org/pub/release-88/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz	2026-09-23	64661761	462823cdad614a2a77763004735fb9d4fabf3bb691b57737697208679c26cb86	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
ensembl88_ncrna	.cache/phase3b/references/ensembl88.ncrna.fa.gz	https://ftp.ensembl.org/pub/release-88/fasta/homo_sapiens/ncrna/Homo_sapiens.GRCh38.ncrna.fa.gz	2026-09-23	9318335	298925becc19859d420f5fbd70994c72ab82df1aedc94515faf86b000b2157b4	scripts/phase3b_acquire.py or verified ranged Ensembl transfer
