feature	class	definition	software_version	parameters	reference	missingness	biological_rationale
sequence_length	ANNOTATION	Count of nucleotide characters in reconstructed transcript	python 3.12; rnaobs.core	Ensembl 91 exon concatenation	Ensembl 91 GRCh38 GTF and genome	0 of 199216	Molecule length affects coverage and effective length
gc_fraction	PRE_MEASUREMENT_MOLECULAR	(G+C)/(A+C+G+T); ambiguous symbols excluded	python 3.12; rnaobs.core	uppercase ACGT only	Ensembl 91 transcript FASTA	0 of 199216	GC-related amplification and sequencing bias
homopolymer_fraction	PRE_MEASUREMENT_MOLECULAR	Fraction of transcript bases in maximal A/C/G/T runs at least 6 nt	python 3.12; rnaobs.core	min_run=6	Ensembl 91 transcript FASTA	0 of 199216	Polymerase and basecalling error-prone tracts
low_complexity_fraction	PRE_MEASUREMENT_MOLECULAR	Fraction of fully ACGT 32-nt windows with mononucleotide Shannon entropy <1.5 bits	python 3.12; NumPy 2.5.3; rnaobs.core	window=32; threshold=1.5 bits	Ensembl 91 transcript FASTA	46 of 199216	Ambiguous mapping and repetitive sequence
sequence_entropy	PRE_MEASUREMENT_MOLECULAR	Shannon entropy in bits of ACGT proportions over entire transcript	python 3.12; rnaobs.core	base=2	Ensembl 91 transcript FASTA	0 of 199216	Global composition diversity
unique_kmer_fraction	IDENTIFIABILITY	Canonical distinct 31-mers found in one transcript identity only divided by all distinct valid canonical 31-mers in that transcript	C++23; src/exact_kmers.cpp	k=31; ACGT-only; reverse-complement canonical	199216 validated Ensembl 91 FASTA sequences	35 of 199216	Transcript-specific sequence content under exact matching
isoforms_per_gene	IDENTIFIABILITY	Number of Ensembl 91 transcripts assigned to gene	python 3.12; rnaobs.core	exact stable gene ID	Ensembl 91 GTF	0 of 199216	Isoform competition
exon_count	ANNOTATION	Number of nonoverlapping GTF exons in transcript	python 3.12; rnaobs.core	0-based half-open intervals	Ensembl 91 GTF	0 of 199216	Transcript architecture
unique_exonic_bases	IDENTIFIABILITY	Number of transcript exonic bases in segments belonging to no other same-gene transcript	python 3.12; NumPy 2.5.3; rnaobs.core	gene and chrom and strand grouping	Ensembl 91 GTF	0 of 199216	Unambiguous isoform assignment opportunity
shared_exon_fraction	IDENTIFIABILITY	1 - unique_exonic_bases/transcript_length	python 3.12; rnaobs.core	gene and chrom and strand grouping	Ensembl 91 GTF	0 of 199216	Exon sharing and assignment ambiguity
unique_junction_count	IDENTIFIABILITY	Number of adjacent exon junction coordinate pairs occurring in one same-gene transcript	python 3.12; rnaobs.core	exact donor-acceptor coordinates	Ensembl 91 GTF	0 of 199216	Splice-specific identifiability
max_exon_jaccard	IDENTIFIABILITY	Maximum exonic base intersection/union with another transcript in same gene	python 3.12; NumPy 2.5.3; rnaobs.core	exact exon segments	Ensembl 91 GTF	0 of 199216	Closest annotated isoform similarity
identical_splice_chain_isoforms	IDENTIFIABILITY	Count of same-gene isoforms with identical ordered intron junction chain including self	python 3.12; rnaobs.core	exact chain equality	Ensembl 91 GTF	0 of 199216	Architecture-derived ambiguity
incidence_rank_deficiency	IDENTIFIABILITY	Transcript columns minus numerical rank of binary exon-segment and junction incidence matrix	python 3.12; NumPy 2.5.3; rnaobs.core	SVD standard floating tolerance	Ensembl 91 GTF	0 of 199216	Nonidentifiable transcript combinations from annotation alone
miniquant_kvalue	IDENTIFIABILITY	Original miniQuant gene K-value for transcript's gene	miniQuant c1b5a89 original C++ units	fragment length 235; effective-length entry; 2 threads	Ensembl 91 GTF	7930 of 199216	Published annotation/read-model identifiability control
genomic_span	ANNOTATION	Last exon end minus first exon start in genomic coordinates	python 3.12; rnaobs.core	0-based half-open	Ensembl 91 GTF	0 of 199216	Architecture and transcript processing
mean_exon_length	ANNOTATION	Transcript exonic length divided by exon count	python 3.12; rnaobs.core	exact intervals	Ensembl 91 GTF	0 of 199216	Architecture and read support
repeat_content	PRE_MEASUREMENT_MOLECULAR	Not generated; repeat mask source and coordinate conversion not yet pinned	NOT_IMPLEMENTED	NA	NA	199216 of 199216	Repeat-driven mapping ambiguity remains for future control
