cohort_status	stable_id	fold
FINAL_WORKFLOW_SPECIFIC	ENST00000000233	3
FINAL_WORKFLOW_SPECIFIC	ENST00000001008	1
FINAL_WORKFLOW_SPECIFIC	ENST00000002165	2
FINAL_WORKFLOW_SPECIFIC	ENST00000003100	0
FINAL_WORKFLOW_SPECIFIC	ENST00000005257	1
FINAL_WORKFLOW_SPECIFIC	ENST00000005260	2
FINAL_WORKFLOW_SPECIFIC	ENST00000005374	4
FINAL_WORKFLOW_SPECIFIC	ENST00000005995	3
FINAL_WORKFLOW_SPECIFIC	ENST00000006777	1
FINAL_WORKFLOW_SPECIFIC	ENST00000007390	2
FINAL_WORKFLOW_SPECIFIC	ENST00000007516	1
FINAL_WORKFLOW_SPECIFIC	ENST00000009589	0
FINAL_WORKFLOW_SPECIFIC	ENST00000010404	2
FINAL_WORKFLOW_SPECIFIC	ENST00000011473	2
FINAL_WORKFLOW_SPECIFIC	ENST00000011619	1
FINAL_WORKFLOW_SPECIFIC	ENST00000011691	4
FINAL_WORKFLOW_SPECIFIC	ENST00000012443	3
FINAL_WORKFLOW_SPECIFIC	ENST00000013034	1
FINAL_WORKFLOW_SPECIFIC	ENST00000013070	2
FINAL_WORKFLOW_SPECIFIC	ENST00000013807	3
FINAL_WORKFLOW_SPECIFIC	ENST00000013894	4
FINAL_WORKFLOW_SPECIFIC	ENST00000019317	0
FINAL_WORKFLOW_SPECIFIC	ENST00000022615	0
FINAL_WORKFLOW_SPECIFIC	ENST00000023939	1
FINAL_WORKFLOW_SPECIFIC	ENST00000025399	2
FINAL_WORKFLOW_SPECIFIC	ENST00000037243	0
FINAL_WORKFLOW_SPECIFIC	ENST00000037869	4
FINAL_WORKFLOW_SPECIFIC	ENST00000038176	4
FINAL_WORKFLOW_SPECIFIC	ENST00000053468	1
FINAL_WORKFLOW_SPECIFIC	ENST00000053867	0
FINAL_WORKFLOW_SPECIFIC	ENST00000054666	3
FINAL_WORKFLOW_SPECIFIC	ENST00000055077	1
