model	n	accuracy	balanced_accuracy	macro_f1	log_loss	brier_multiclass	structure_inputs_read	longbench_inputs_read	macro_f1_ci_low	macro_f1_ci_high
A	15999	0.6031626976686043	0.5164034214535017	0.5091804995766249	3.6448246371796302	0.530947178096408	False	False	0.4993031871658324	0.5194503470926598
B	15999	0.6136633539596225	0.5234035534445153	0.5155524539543304	3.625457955023592	0.5166644872958543	False	False	0.5061192460774097	0.525392780354364
C	15999	0.6152259516219764	0.5274919726380182	0.5218300679510073	3.643491990495337	0.5157598074560126	False	False	0.512376260340985	0.5328101838801408
C_abundance_low	5333	0.5524095255953497	0.2955474370056961	0.3063409281179327	NA	NA	False	False	NA	NA
C_abundance_mid	5333	0.5720982561410088	0.329384047705914	0.3313372906923649	NA	NA	False	False	NA	NA
C_abundance_high	5333	0.7211700731295706	0.3286657203450475	0.304886252173467	NA	NA	False	False	NA	NA
C_length_short	5333	0.6450403150196887	0.4379529651582424	0.4260055053641189	NA	NA	False	False	NA	NA
C_length_mid	5333	0.5645977873617101	0.4570168313715121	0.4445999472530069	NA	NA	False	False	NA	NA
C_length_long	5333	0.6360397524845303	0.4523286643782533	0.4523128185444475	NA	NA	False	False	NA	NA
C_isoform_1	1913	0.7130162049137481	0.4991197266656328	0.491749181494286	NA	NA	False	False	NA	NA
C_isoform_2-5	2952	0.6537940379403794	0.5228483359179441	0.5144667055365528	NA	NA	False	False	NA	NA
C_isoform_6-10	4881	0.5920917844703955	0.5095099759220546	0.5057779055263044	NA	NA	False	False	NA	NA
C_isoform_>10	6253	0.5851591236206621	0.4903414333220784	0.491503511717531	NA	NA	False	False	NA	NA
MAJORITY	15999	0.29251828239264954	0.2	0.09052662120992311	NA	NA	False	False	NA	NA
