primary	alternative	n
BOTH	BOTH	3733
NEITHER	NEITHER	1991
ILLUMINA_ONLY	ILLUMINA_ONLY	1779
INDETERMINATE	INDETERMINATE	1461
ILLUMINA_ONLY	INDETERMINATE	1267
ILLUMINA_ONLY	NEITHER	1190
INDETERMINATE	NEITHER	960
INDETERMINATE	BOTH	637
NEITHER	INDETERMINATE	613
INDETERMINATE	ILLUMINA_ONLY	462
ILLUMINA_ONLY	BOTH	389
BOTH	INDETERMINATE	324
INDETERMINATE	DIRECT_RNA_ONLY	227
DIRECT_RNA_ONLY	DIRECT_RNA_ONLY	172
NEITHER	DIRECT_RNA_ONLY	159
DIRECT_RNA_ONLY	INDETERMINATE	147
BOTH	ILLUMINA_ONLY	133
NEITHER	ILLUMINA_ONLY	93
DIRECT_RNA_ONLY	BOTH	66
DIRECT_RNA_ONLY	NEITHER	56
ILLUMINA_ONLY	DIRECT_RNA_ONLY	55
BOTH	DIRECT_RNA_ONLY	36
NEITHER	BOTH	27
BOTH	NEITHER	14
DIRECT_RNA_ONLY	ILLUMINA_ONLY	8
