dRNA1	dRNA2	Illumina1	Illumina2	spearman	sign_agreement
SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	0.7403547252025706	0.8265022612504817
SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	GIS_k562_Illumina_Rep5-Run1	GIS_K562_Illumina_Rep4-Run1	0.7430465920441829	0.8267861850777748
SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	0.734149074563442	0.8244945141860512
SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	GIS_k562_Illumina_Rep5-Run1	GIS_K562_Illumina_Rep4-Run1	0.7343697534714765	0.8234399399703908
SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate6_run1	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	0.734008248746296	0.8256707700419802
SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate6_run1	GIS_k562_Illumina_Rep5-Run1	GIS_K562_Illumina_Rep4-Run1	0.734324454110695	0.8265428217972378
SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate5_run1	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	0.7574100720900159	0.8383459409032834
SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate5_run1	GIS_k562_Illumina_Rep5-Run1	GIS_K562_Illumina_Rep4-Run1	0.7550298336856213	0.8359325883712913
SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate6_run1	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	0.7570803329331017	0.8375144496947818
SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate6_run1	GIS_k562_Illumina_Rep5-Run1	GIS_K562_Illumina_Rep4-Run1	0.7545881736582689	0.8380417368026121
SGNex_K562_directRNA_replicate5_run1	SGNex_K562_directRNA_replicate6_run1	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	0.7552730154859615	0.8347360522419842
SGNex_K562_directRNA_replicate5_run1	SGNex_K562_directRNA_replicate6_run1	GIS_k562_Illumina_Rep5-Run1	GIS_K562_Illumina_Rep4-Run1	0.7553230358281925	0.837778093248697
