dimension	level	transcripts	usable	usable_fraction	mean_fitted_probability
independent_abundance_TPM	(-1e-10, 0.0]	109878	2603	0.023689910628151224	0.028468121615157604
independent_abundance_TPM	(0.0, 0.1]	6084	75	0.01232741617357002	0.019542037701310248
independent_abundance_TPM	(0.1, 1.0]	33268	1634	0.04911626788505471	0.03687271834005912
independent_abundance_TPM	(1.0, 10.0]	38203	5473	0.14326100044499124	0.13516518116342527
independent_abundance_TPM	(10.0, 100.0]	10172	5316	0.522611089264648	0.5376515533032992
independent_abundance_TPM	(100.0, inf]	934	898	0.961456102783726	0.9558486289359083
length_nt	(0.0, 500.0]	37517	2361	0.06293147106644988	0.06915042111951501
length_nt	(500.0, 1000.0]	80837	7164	0.08862278412113266	0.08743891496117395
length_nt	(1000.0, 2000.0]	33505	3699	0.11040143262199671	0.0889730724486113
length_nt	(2000.0, 5000.0]	37803	2547	0.0673756051107055	0.0754237554361597
length_nt	(5000.0, 10000.0]	7835	220	0.028079132099553285	0.06000908076715169
length_nt	(10000.0, inf]	1042	8	0.007677543186180422	0.03262108324761492
gc_fraction	(-0.01, 0.3]	343	2	0.0058309037900874635	0.05166849798568943
gc_fraction	(0.3, 0.4]	24855	1549	0.06232146449406558	0.07898552023828716
gc_fraction	(0.4, 0.5]	77698	6620	0.08520167829287756	0.0794556069439248
gc_fraction	(0.5, 0.6]	66440	5720	0.08609271523178808	0.08106354528429462
gc_fraction	(0.6, 0.7]	28109	2041	0.07261019602262621	0.08393683824709856
gc_fraction	(0.7, 1.01]	1094	67	0.061243144424131625	0.0908350730518871
isoforms_per_gene	(0.0, 1.0]	34702	1913	0.05512650567690623	0.051893194357947044
isoforms_per_gene	(1.0, 2.0]	9122	457	0.05009866257399693	0.07732336104011987
isoforms_per_gene	(2.0, 5.0]	26061	2495	0.09573692490694909	0.10159079963372356
isoforms_per_gene	(5.0, 10.0]	45327	4881	0.10768416175789265	0.09925609956112029
isoforms_per_gene	(10.0, 20.0]	55585	4767	0.08576054691013762	0.08405882312543987
isoforms_per_gene	(20.0, inf]	27742	1486	0.05356499170932161	0.06034082568125524
unique_31mer_fraction	(-0.01, 0.0]	32688	2560	0.07831620166421928	0.09581910364103502
unique_31mer_fraction	(0.0, 0.01]	8085	544	0.06728509585652442	0.08996993001169791
unique_31mer_fraction	(0.01, 0.05]	32166	3642	0.1132251445625816	0.09949773537459441
unique_31mer_fraction	(0.05, 0.2]	40449	3849	0.09515686419936216	0.09625011619488033
unique_31mer_fraction	(0.2, 0.5]	34646	2908	0.0839346533510362	0.07483967628549536
unique_31mer_fraction	(0.5, 1.01]	50505	2496	0.04942084942084942	0.04856871555251674
