failure_category	transcripts	count_type	interpretation
no_stable_identifier_overlap	134295	mutually_exclusive	Phase 3A observed
reported_length_mismatch	59	mutually_exclusive	Phase 3A observed
source_annotation_sequence_unavailable	65956	mutually_exclusive	Phase 3A observed
version_difference_only_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
exon_coordinate_mismatch_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
sequence_mismatch_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
annotation_build_mismatch_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
identifier_semantics_mismatch_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
possible_preprocessing_artifact_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
incorrect_source_annotation_assumption_confirmed	0	not_confirmed	Cannot establish without source GSE145805 transcriptome
diagnostic_exact_id_equal_length_unverified	65956	overlapping_diagnostic	Not a validated mapping failure
diagnostic_sgnex_version_recovered	1094	overlapping_diagnostic	Not a validated mapping failure
