row_type	platform	method1	method2	run1	run2	stratum	level	n_union	n_common	n_positive_both	spearman_rank	positive_call_agreement	threshold_TPM	threshold_call_agreement	both_detected	first_only	second_only	neither
method_run_inventory	Illumina	salmon_sr	NA	GIS_K562_Illumina_Rep3-Run1	NA	all	all	200310	198569	88661	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep3-Run1	GIS_K562_Illumina_Rep4-Run1	all	all	198569	198569	73060	0.8111854720737991	0.8494880872643766	0.1	0.8662228243079232	66656.0	13421.0	13143.0	105349.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep3-Run1	GIS_K562_Illumina_Rep4-Run1	all	all	198569	198569	73060	0.8111854720737991	0.8494880872643766	1.0	0.9249328948627429	36542.0	6504.0	8402.0	147121.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep3-Run1	GIS_K562_Illumina_Rep4-Run1	all	all	198569	198569	73060	0.8111854720737991	0.8494880872643766	5.0	0.9732888819503548	13544.0	1943.0	3361.0	179721.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep3-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	198569	198569	72522	0.8083741961893262	0.8482895114544566	0.1	0.8648933116448186	66302.0	13775.0	13053.0	105439.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep3-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	198569	198569	72522	0.8083741961893262	0.8482895114544566	1.0	0.9237645352497117	36174.0	6872.0	8266.0	147257.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep3-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	198569	198569	72522	0.8083741961893262	0.8482895114544566	5.0	0.9743968091696086	13439.0	2048.0	3036.0	180046.0
method_run_inventory	Illumina	salmon_sr	NA	GIS_K562_Illumina_Rep4-Run1	NA	all	all	200310	198569	87346	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	198569	198569	72665	0.8222986247184413	0.8563521999909351	0.1	0.8726689463108541	66935.0	12864.0	12420.0	106350.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	198569	198569	72665	0.8222986247184413	0.8563521999909351	1.0	0.9334740065166265	38087.0	6857.0	6353.0	147272.0
within_method_replicates	Illumina	salmon_sr	salmon_sr	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	198569	198569	72665	0.8222986247184413	0.8563521999909351	5.0	0.9811753093383156	14821.0	2084.0	1654.0	180010.0
method_run_inventory	Illumina	salmon_sr	NA	GIS_k562_Illumina_Rep5-Run1	NA	all	all	200310	198569	86508	NA	NA	NA	NA	NA	NA	NA	NA
method_run_inventory	Illumina	rsem_sr	NA	GIS_K562_Illumina_Rep3-Run1	NA	all	all	200310	200310	85322	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep3-Run1	GIS_K562_Illumina_Rep4-Run1	all	all	200310	200310	68874	0.8013442215255436	0.8445559382956418	0.1	0.863341820178723	62806.0	13978.0	13396.0	110130.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep3-Run1	GIS_K562_Illumina_Rep4-Run1	all	all	200310	200310	68874	0.8013442215255436	0.8445559382956418	1.0	0.9340871648944137	32887.0	5818.0	7385.0	154220.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep3-Run1	GIS_K562_Illumina_Rep4-Run1	all	all	200310	200310	68874	0.8013442215255436	0.8445559382956418	5.0	0.9773700763816086	12845.0	1727.0	2806.0	182932.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep3-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	200310	200310	68576	0.7975447459611589	0.8427886775497978	0.1	0.861299985023214	62642.0	14142.0	13641.0	109885.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep3-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	200310	200310	68576	0.7975447459611589	0.8427886775497978	1.0	0.9335030702411262	32692.0	6013.0	7307.0	154298.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep3-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	200310	200310	68576	0.7975447459611589	0.8427886775497978	5.0	0.9784234436623234	12771.0	1801.0	2521.0	183217.0
method_run_inventory	Illumina	rsem_sr	NA	GIS_K562_Illumina_Rep4-Run1	NA	all	all	200310	200310	83563	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	200310	200310	68847	0.8162603417154968	0.8542758723977835	0.1	0.8721232090260097	63435.0	12767.0	12848.0	111260.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	200310	200310	68847	0.8162603417154968	0.8542758723977835	1.0	0.9436822924467076	34495.0	5777.0	5504.0	154534.0
within_method_replicates	Illumina	rsem_sr	rsem_sr	GIS_K562_Illumina_Rep4-Run1	GIS_k562_Illumina_Rep5-Run1	all	all	200310	200310	68847	0.8162603417154968	0.8542758723977835	5.0	0.9849283610403874	13962.0	1689.0	1330.0	183329.0
method_run_inventory	Illumina	rsem_sr	NA	GIS_k562_Illumina_Rep5-Run1	NA	all	all	200310	200310	83321	NA	NA	NA	NA	NA	NA	NA	NA
method_run_inventory	directRNA	salmon_lr	NA	SGNex_K562_directRNA_replicate1_run1	NA	all	all	200310	200310	19072	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	all	all	200310	200310	13852	0.6698584524553316	0.9332185113074735	0.1	0.9332085267834856	13850.0	5221.0	8158.0	173081.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	all	all	200310	200310	13852	0.6698584524553316	0.9332185113074735	1.0	0.9335929309570167	13832.0	5219.0	8083.0	173176.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	all	all	200310	200310	13852	0.6698584524553316	0.9332185113074735	5.0	0.9728021566571814	9306.0	2871.0	2577.0	185556.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	all	all	200310	200310	13653	0.6648553539120272	0.9330637511856622	0.1	0.9330537666616744	13651.0	5420.0	7990.0	173249.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	all	all	200310	200310	13653	0.6648553539120272	0.9330637511856622	1.0	0.9332684339274125	13636.0	5415.0	7952.0	173307.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	all	all	200310	200310	13653	0.6648553539120272	0.9330637511856622	5.0	0.9715640756826919	9108.0	3069.0	2627.0	185506.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	14408	0.6610881484557423	0.926843392741251	0.1	0.9268334082172632	14406.0	4665.0	9991.0	171248.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	14408	0.6610881484557423	0.926843392741251	1.0	0.9426289251659927	13365.0	5686.0	5806.0	175453.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	14408	0.6610881484557423	0.926843392741251	5.0	0.9715191453247466	9363.0	2814.0	2891.0	185242.0
method_run_inventory	directRNA	salmon_lr	NA	SGNex_K562_directRNA_replicate4_run1	NA	all	all	200310	200310	22009	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate5_run1	all	all	200310	200310	15098	0.685914324994415	0.9328291148719485	0.1	0.9328291148719485	15097.0	6911.0	6544.0	171758.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate5_run1	all	all	200310	200310	15098	0.685914324994415	0.9328291148719485	1.0	0.9331785732115221	15059.0	6856.0	6529.0	171866.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate5_run1	all	all	200310	200310	15098	0.685914324994415	0.9328291148719485	5.0	0.9764265388647596	9448.0	2435.0	2287.0	186140.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	16062	0.6866585159691626	0.9286955219409915	0.1	0.9286955219409915	16061.0	5947.0	8336.0	169966.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	16062	0.6866585159691626	0.9286955219409915	1.0	0.9407817882282462	14612.0	7303.0	4559.0	173836.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate4_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	16062	0.6866585159691626	0.9286955219409915	5.0	0.97663122160651	9728.0	2155.0	2526.0	185901.0
method_run_inventory	directRNA	salmon_lr	NA	SGNex_K562_directRNA_replicate5_run1	NA	all	all	200310	200310	21642	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate5_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	15864	0.6841652576277363	0.9285507463431681	0.1	0.928560730867156	15864.0	5777.0	8533.0	170136.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate5_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	15864	0.6841652576277363	0.9285507463431681	1.0	0.941785232889022	14549.0	7039.0	4622.0	174100.0
within_method_replicates	directRNA	salmon_lr	salmon_lr	SGNex_K562_directRNA_replicate5_run1	SGNex_K562_directRNA_replicate6_run1	all	all	200310	200310	15864	0.6841652576277363	0.9285507463431681	5.0	0.9762118715990216	9612.0	2123.0	2642.0	185933.0
method_run_inventory	directRNA	salmon_lr	NA	SGNex_K562_directRNA_replicate6_run1	NA	all	all	200310	200310	24398	NA	NA	NA	NA	NA	NA	NA	NA
method_run_inventory	directRNA	NanoCount_lr	NA	SGNex_K562_directRNA_replicate1_run1	NA	all	all	200310	39549	39549	NA	NA	NA	NA	NA	NA	NA	NA
within_method_replicates	directRNA	NanoCount_lr	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	all	all	60052	33726	33726	0.8218702317848839	1.0	0.1	0.8731542430172567	25207.0	1857.0	2421.0	4241.0
within_method_replicates	directRNA	NanoCount_lr	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	all	all	60052	33726	33726	0.8218702317848839	1.0	1.0	0.8367135147957065	21496.0	2465.0	3042.0	6723.0
within_method_replicates	directRNA	NanoCount_lr	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate4_run1	all	all	60052	33726	33726	0.8218702317848839	1.0	5.0	0.8396192848247642	11246.0	3199.0	2210.0	17071.0
within_method_replicates	directRNA	NanoCount_lr	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	all	all	60052	33362	33362	0.8215457284962857	1.0	0.1	0.8738085246687849	24900.0	1859.0	2351.0	4252.0
within_method_replicates	directRNA	NanoCount_lr	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	all	all	60052	33362	33362	0.8215457284962857	1.0	1.0	0.8335231700737366	21030.0	2655.0	2899.0	6778.0
within_method_replicates	directRNA	NanoCount_lr	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	SGNex_K562_directRNA_replicate5_run1	all	all	60052	33362	33362	0.8215457284962857	1.0	5.0	0.837000179845333	10935.0	3453.0	1985.0	16989.0
