protocol_general	method	runname	rows	nonzero_rows	enst_rows	bambu_novel_rows	sum_value
PacBio-SMRTcell	NanoCount_lr	GIS_K562_PacBio-SMRTcell_Rep7_Run1	28450	28450	28234	0	1000000.0000004893
cDNA	NanoCount_lr	SGNex_K562_cDNAStranded_replicate2_run3	43028	43028	43028	0	999999.9999999204
cDNA	NanoCount_lr	SGNex_K562_cDNAStranded_replicate3_run2	36920	36920	36920	0	999999.9999991691
cDNA	NanoCount_lr	SGNex_K562_cDNAStranded_replicate3_run3	36996	36996	36996	0	999999.9999999362
cDNA	NanoCount_lr	SGNex_K562_cDNA_replicate1_run3	34874	34874	34874	0	999999.9999999382
cDNA	NanoCount_lr	SGNex_K562_cDNA_replicate3_run4	55221	55221	55221	0	999999.9999922256
directRNA	NanoCount_lr	SGNex_K562_directRNA_replicate1_run1	39549	39549	39549	0	1000000.0000001331
directRNA	NanoCount_lr	SGNex_K562_directRNA_replicate4_run1	44790	44790	44746	0	999999.9999999749
directRNA	NanoCount_lr	SGNex_K562_directRNA_replicate5_run1	42848	42848	42813	0	1000000.0000000637
directRNA	NanoCount_lr	SGNex_K562_directRNA_replicate6_run1	46492	46492	46492	0	1000000.000000001
directcDNA	NanoCount_lr	SGNex_K562_directcDNA_replicate1_run2	30946	30946	30946	0	999999.9999998905
directcDNA	NanoCount_lr	SGNex_K562_directcDNA_replicate2_run1	6191	6191	6191	0	1000000.0000000497
directcDNA	NanoCount_lr	SGNex_K562_directcDNA_replicate2_run2	6122	6122	6122	0	1000000.0000000352
directcDNA	NanoCount_lr	SGNex_K562_directcDNA_replicate3_run1	21298	21298	21298	0	999999.9999997898
directcDNA	NanoCount_lr	SGNex_K562_directcDNA_replicate4_run2	41284	41284	41202	0	1000000.0000001
PacBio-SMRTcell	bambu_lr	GIS_K562_PacBio-SMRTcell_Rep7_Run1	203849	26376	200310	3198	842683.695020196
cDNA	bambu_lr	SGNex_K562_cDNAStranded_replicate2_run3	212377	34389	200310	11726	861586.6663864469
cDNA	bambu_lr	SGNex_K562_cDNAStranded_replicate3_run2	212377	35483	200310	11726	868147.0458092181
cDNA	bambu_lr	SGNex_K562_cDNAStranded_replicate3_run3	212377	35702	200310	11726	867840.6599184705
cDNA	bambu_lr	SGNex_K562_cDNA_replicate1_run3	212377	33486	200310	11726	835676.2524199681
cDNA	bambu_lr	SGNex_K562_cDNA_replicate3_run4	212377	51893	200310	11726	881792.1902391543
directRNA	bambu_lr	SGNex_K562_directRNA_replicate1_run1	212377	26223	200310	11726	897346.9792065253
directRNA	bambu_lr	SGNex_K562_directRNA_replicate4_run1	212377	28990	200310	11726	914596.7636580031
directRNA	bambu_lr	SGNex_K562_directRNA_replicate5_run1	212377	28370	200310	11726	919873.3830416887
directRNA	bambu_lr	SGNex_K562_directRNA_replicate6_run1	212377	32022	200310	11726	915242.2761466522
directcDNA	bambu_lr	SGNex_K562_directcDNA_replicate1_run2	212377	46520	200310	11726	765920.352673203
directcDNA	bambu_lr	SGNex_K562_directcDNA_replicate2_run1	212377	23568	200310	11726	737931.8605982498
directcDNA	bambu_lr	SGNex_K562_directcDNA_replicate2_run2	212377	22163	200310	11726	775806.6248941849
directcDNA	bambu_lr	SGNex_K562_directcDNA_replicate3_run1	212377	29158	200310	11726	808065.4675903063
directcDNA	bambu_lr	SGNex_K562_directcDNA_replicate4_run2	212377	44472	200310	11726	821542.7709872499
Illumina	rsem_sr	GIS_K562_Illumina_Rep3-Run1	200651	85455	200310	0	999998.670000009
Illumina	rsem_sr	GIS_K562_Illumina_Rep4-Run1	200651	83695	200310	0	1000000.3300000046
Illumina	rsem_sr	GIS_k562_Illumina_Rep5-Run1	200651	83456	200310	0	1000000.6900000137
PacBio-SMRTcell	salmon_lr	GIS_K562_PacBio-SMRTcell_Rep7_Run1	200648	25295	200310	0	1000000.0003270678
cDNA	salmon_lr	SGNex_K562_cDNAStranded_replicate2_run3	200648	30407	200310	0	999999.9991109918
cDNA	salmon_lr	SGNex_K562_cDNAStranded_replicate3_run2	200648	28408	200310	0	1000000.0012569667
cDNA	salmon_lr	SGNex_K562_cDNAStranded_replicate3_run3	200648	28645	200310	0	1000000.0014680093
cDNA	salmon_lr	SGNex_K562_cDNA_replicate1_run3	200648	34761	200310	0	1000000.0010999653
cDNA	salmon_lr	SGNex_K562_cDNA_replicate3_run4	200648	52899	200310	0	1000000.0014939808
directRNA	salmon_lr	SGNex_K562_directRNA_replicate1_run1	200648	19072	200310	0	999999.9992480215
directRNA	salmon_lr	SGNex_K562_directRNA_replicate4_run1	200648	22051	200310	0	1000000.0006560116
directRNA	salmon_lr	SGNex_K562_directRNA_replicate5_run1	200648	21677	200310	0	999999.9990870144
directRNA	salmon_lr	SGNex_K562_directRNA_replicate6_run1	200648	24398	200310	0	1000000.0005869871
directcDNA	salmon_lr	SGNex_K562_directcDNA_replicate1_run2	200648	46738	200310	0	999999.9985990367
directcDNA	salmon_lr	SGNex_K562_directcDNA_replicate2_run1	200648	20654	200310	0	1000000.0012189898
directcDNA	salmon_lr	SGNex_K562_directcDNA_replicate2_run2	200648	19180	200310	0	999999.9989289723
directcDNA	salmon_lr	SGNex_K562_directcDNA_replicate3_run1	200648	26605	200310	0	999999.9990430258
directcDNA	salmon_lr	SGNex_K562_directcDNA_replicate4_run2	200648	44542	200310	0	1000000.002828013
Illumina	salmon_sr	GIS_K562_Illumina_Rep3-Run1	198731	88793	198569	0	999999.9997099931
Illumina	salmon_sr	GIS_K562_Illumina_Rep4-Run1	198731	87480	198569	0	999999.9999440005
Illumina	salmon_sr	GIS_k562_Illumina_Rep5-Run1	198731	86641	198569	0	1000000.0000810005
