runname	mix	protocol	method	quantity	n_truth	n_rows_observed	n_positive	observed_fraction	positive_fraction	rank_spearman	median_abs_log10_relative_error	median_signed_log10_relative_error	truth_source	missing_sparse_rows_are_not_zero
allSpikinReadsCombined_SIRV-1_Illumina	SIRV-1	Illumina	rsem_sr	estimates	337	335	72	0.9940652818991098	0.21364985163204747	0.7885429197553916	0.5677492497664783	0.31345826609826544	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_Illumina	SIRV-1	Illumina	rsem_sr	normEst	337	335	72	0.9940652818991098	0.21364985163204747	0.7885429197553916	0.5677492497664778	0.3134582660982655	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_Illumina	SIRV-1	Illumina	salmon_sr	estimates	337	332	83	0.9851632047477745	0.24629080118694363	0.6586430633397177	0.6843194163845067	0.2863827091175729	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_Illumina	SIRV-1	Illumina	salmon_sr	normEst	337	332	83	0.9851632047477745	0.24629080118694363	0.6586430633397177	0.6843194163845062	0.2863827091175722	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_PacBio_sorted	SIRV-1_PacBio	PacBio	bambu_lr	estimates	337	335	138	0.9940652818991098	0.4094955489614243	0.450881756453641	0.7836489425343752	-0.07327263025655185	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_PacBio_sorted	SIRV-1_PacBio	PacBio	bambu_lr	normEst	337	335	138	0.9940652818991098	0.4094955489614243	0.450881756453641	0.783648942534375	-0.07327263025655242	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_cDNA	SIRV-1	cDNA	NanoCount_lr	estimates	337	89	89	0.26409495548961426	0.26409495548961426	0.6487194206246377	0.5732063834852209	0.13136308112201686	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_cDNA	SIRV-1	cDNA	NanoCount_lr	normEst	337	89	89	0.26409495548961426	0.26409495548961426	0.6487194206246377	0.5732063834852215	0.13136308112201617	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_cDNA	SIRV-1	cDNA	salmon_lr	estimates	337	332	86	0.9851632047477745	0.2551928783382789	0.6722527078696439	0.6237898018074604	0.199784832106654	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_cDNA	SIRV-1	cDNA	salmon_lr	normEst	337	332	86	0.9851632047477745	0.2551928783382789	0.6722527078696439	0.6237898018074597	0.19978483210665376	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
