dimension	level	transcripts	usable	usable_fraction	mean_fitted_probability
abundance_bin	0	112302	7290	0.06491424907837795	0.07411626611258586
abundance_bin	(0,0.1]	7446	582	0.0781627719580983	0.07563802057772004
abundance_bin	(0.1,1]	35398	8511	0.24043731284253347	0.20049214875671184
abundance_bin	(1,10]	34580	13454	0.38906882591093117	0.40584376972256525
abundance_bin	(10,100]	8110	4805	0.5924784217016029	0.5657709600776957
abundance_bin	>100	733	653	0.8908594815825375	0.9397637592094329
length_bin	<=500	37547	3552	0.09460143287080193	0.0932821135412902
length_bin	501-1000	80837	16338	0.20211041973353785	0.20365809483343225
length_bin	1001-2000	33505	7153	0.21349052380241754	0.20844301975548168
length_bin	2001-5000	37803	7210	0.19072560378805914	0.19303921732994514
length_bin	5001-10000	7835	969	0.1236758136566688	0.12632745498906708
length_bin	>10000	1042	73	0.07005758157389635	0.05591183298338098
gc_bin	(-0.01, 0.3]	345	1	0.002898550724637681	0.0009931317749938642
gc_bin	(0.3, 0.4]	24859	537	0.021601834345709805	0.021649508290939968
gc_bin	(0.4, 0.5]	77708	6388	0.08220517836001441	0.0823142742933039
gc_bin	(0.5, 0.6]	66449	16605	0.24989089376815302	0.2490389831441682
gc_bin	(0.6, 0.7]	28113	11444	0.40707146160139435	0.4095458412740935
gc_bin	(0.7, 1.01]	1095	320	0.2922374429223744	0.2721411580712399
isoform_bin	(0.0, 1.0]	34732	476	0.013704940688702061	0.00908277241890601
isoform_bin	(1.0, 2.0]	9122	456	0.04998903749177812	0.06053418810347072
isoform_bin	(2.0, 5.0]	26061	3082	0.11826100303134952	0.13153841637468364
isoform_bin	(5.0, 10.0]	45327	8738	0.19277693207139232	0.19623732591136514
isoform_bin	(10.0, 20.0]	55585	14430	0.25960241072231716	0.25252659185580406
isoform_bin	(20.0, inf]	27742	8113	0.2924446687333285	0.2908130384997869
exon_count	1	23622	368	0.015578697824062316	0.012910274951414901
exon_count	2	32007	2957	0.0923860405536289	0.10293698712406008
exon_count	3	28449	4288	0.1507258603114345	0.156664406906204
exon_count	4	25211	4946	0.19618420530720718	0.19752819341782482
exon_count	5	20225	4888	0.24168108776266997	0.2295830386589769
exon_count	6	14698	3849	0.2618723635868826	0.24908599060918307
exon_count	7	9761	2768	0.2835775023050917	0.26430607102388265
exon_count	8	6982	1869	0.2676883414494414	0.2621834419789705
exon_count	9	5334	1402	0.26284214473190853	0.2607512306155809
exon_count	10	4449	1170	0.26298044504383006	0.26192746945931233
exon_count	11	3717	947	0.2547753564702717	0.24854071937466488
exon_count	12	3108	820	0.26383526383526384	0.258022612899454
exon_count	13	2630	688	0.26159695817490497	0.2612779298314806
exon_count	14	2347	533	0.22709842351938644	0.2478942468142726
exon_count	15	2058	499	0.2424684159378037	0.2552870398133498
exon_count	16	1698	461	0.2714958775029446	0.26343749002517286
exon_count	17	1437	395	0.27487821851078637	0.26487294274814144
exon_count	18	1266	322	0.25434439178515006	0.25633243971120134
exon_count	19	1049	272	0.25929456625357483	0.2648317416202625
